Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,1,0,0
8 days,0,0,0
9 days,1,0,0
10 days,1,0,0
11 days,5,0,0
12 days,10,0,0
13 days,15,0,0
14 days,13,0,0
15 days,14,0,0
16 days,30,0,0
17 days,48,0,0
18 days,86,1,0
19 days,115,1,0
20 days,156,2,0
21 days,154,1,2
22 days,130,1,2
23 days,143,0,2
24 days,178,0,0
25 days,193,0,0
26 days,169,2,11
27 days,166,3,11
28 days,166,4,11
29 days,128,2,0
30 days,116,2,13
31 days,123,3,13
32 days,166,3,13
33 days,145,3,140
34 days,137,1,140
35 days,106,2,140
36 days,77,3,0
37 days,80,4,0
38 days,77,3,0
39 days,91,4,0
40 days,84,3,0
41 days,79,5,0
42 days,55,5,0
43 days,23,4,0
44 days,12,2,0
45 days,31,1,9
46 days,51,1,17
47 days,58,2,26
48 days,55,1,25
49 days,35,1,25
50 days,26,1,19
51 days,27,2,23
52 days,35,2,28
53 days,36,3,30
54 days,26,2,779
55 days,19,2,792
56 days,19,2,792
57 days,11,1,39
58 days,10,1,12
59 days,15,0,10
60 days,18,1,30
61 days,20,1,30
62 days,14,1,61
63 days,13,2,55
64 days,9,1,64
65 days,9,1,31
66 days,9,1,24
67 days,10,1,33
68 days,10,1,38
69 days,9,1,33
70 days,9,0,27
71 days,6,0,25
72 days,6,0,20
73 days,6,1,14
