Dates,Infected,Dead,Recovered
2 days,3,0,0
3 days,2,0,0
4 days,3,0,0
5 days,1,0,1
6 days,1,0,1
7 days,1,0,1
8 days,2,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,2,0,0
14 days,2,0,0
15 days,2,0,0
16 days,2,0,0
17 days,1,0,0
18 days,2,0,0
19 days,3,0,0
20 days,2,0,0
21 days,4,1,0
22 days,4,1,0
23 days,4,1,0
24 days,3,0,2
25 days,4,0,2
26 days,4,0,2
27 days,3,0,0
28 days,2,0,1
29 days,2,0,1
30 days,0,0,2
31 days,1,0,1
32 days,2,0,0
33 days,3,0,2
34 days,3,0,2
35 days,19,0,3
36 days,23,0,1
37 days,23,0,2
38 days,13,0,1
39 days,10,0,2
40 days,27,0,1
41 days,20,0,1
42 days,20,0,0
