Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,2.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,2.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,1.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,1.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,1.0,0.0,2.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,1.0,0.0,0.0
30 days,1.0,0.0,0.0
31 days,0.0,0.0,0.0
32 days,2.0,0.0,3.0
33 days,1.0,0.0,0.0
34 days,6.0,0.0,0.0
35 days,4.0,0.0,0.0
36 days,3.0,0.0,0.0
37 days,3.0,0.0,0.0
38 days,3.0,0.0,0.0
39 days,4.0,0.0,0.0
40 days,12.0,0.0,0.0
41 days,5.0,0.0,2.0
42 days,10.0,0.0,0.0
43 days,13.0,1.0,0.0
44 days,2.0,0.0,0.0
45 days,29.0,0.0,0.0
46 days,9.0,0.0,0.0
47 days,76.0,0.0,0.0
48 days,5.0,0.0,0.0
49 days,54.0,0.0,0.0
50 days,163.0,3.0,1.0
51 days,63.0,1.0,0.0
52 days,179.0,3.0,0.0
53 days,143.0,1.0,0.0
54 days,143.0,3.0,0.0
55 days,334.0,7.0,1.0
56 days,192.0,2.0,0.0
57 days,619.0,4.0,0.0
58 days,702.0,1.0,100.0
59 days,461.0,4.0,73.0
60 days,791.0,8.0,1.0
61 days,640.0,16.0,72.0
62 days,894.0,7.0,210.0
63 days,704.0,3.0,0.0
64 days,1118.0,16.0,0.0
65 days,1129.0,21.0,858.0
66 days,1033.0,8.0,0.0
67 days,1724.0,30.0,411.0
68 days,1153.0,40.0,440.0
69 days,541.0,39.0,402.0
70 days,2778.0,41.0,435.0
71 days,807.0,80.0,244.0
72 days,1309.0,36.0,535.0
73 days,1269.0,32.0,363.0
74 days,1513.0,96.0,1008.0
75 days,1405.0,54.0,693.0
76 days,1257.0,97.0,734.0
77 days,982.0,60.0,534.0
78 days,1381.0,65.0,635.0
79 days,1355.0,120.0,452.0
80 days,1174.0,107.0,756.0
81 days,2600.0,251.0,732.0
82 days,2005.0,97.0,847.0
83 days,1542.0,45.0,419.0
84 days,1277.0,164.0,883.0
85 days,2025.0,162.0,696.0
86 days,1744.0,183.0,645.0
87 days,2247.0,167.0,1266.0
