Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,1,0,0
14 days,1,0,0
15 days,1,0,0
16 days,1,0,0
17 days,1,0,0
18 days,1,0,0
19 days,1,0,0
20 days,3,0,0
21 days,5,0,0
22 days,4,0,0
23 days,2,0,0
24 days,0,0,0
25 days,1,0,0
26 days,1,0,0
27 days,6,0,0
28 days,5,0,0
29 days,17,0,0
30 days,15,0,0
31 days,18,1,0
32 days,12,1,0
33 days,9,1,0
34 days,9,0,0
35 days,20,0,0
36 days,21,0,1
37 days,39,0,1
38 days,34,1,3
39 days,36,1,2
40 days,21,1,2
41 days,25,0,2
42 days,29,2,3
43 days,41,2,3
44 days,32,2,5
45 days,39,1,5
46 days,33,0,5
47 days,37,1,1
48 days,41,1,0
49 days,48,2,0
50 days,53,2,3
51 days,59,2,4
52 days,58,3,7
53 days,64,2,20
54 days,50,2,23
55 days,52,1,26
56 days,40,2,12
57 days,53,2,13
58 days,60,2,12
