Dates,Infected,Dead,Recovered
2 days,0,0,0
3 days,1,0,0
4 days,2,0,0
5 days,2,0,0
6 days,1,0,0
7 days,0,0,0
8 days,1,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,1,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,0
17 days,1,0,0
18 days,1,0,0
19 days,1,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,1
23 days,0,0,1
24 days,1,0,1
25 days,1,0,0
26 days,1,0,0
27 days,0,0,0
28 days,1,0,0
29 days,1,0,0
30 days,8,0,0
31 days,10,0,0
32 days,10,0,0
33 days,13,0,0
34 days,9,0,0
35 days,9,0,0
36 days,0,0,1
37 days,1,0,1
38 days,2,0,1
39 days,2,0,0
40 days,44,0,0
41 days,58,0,0
42 days,58,0,0
43 days,15,0,1
44 days,19,0,1
45 days,19,0,0
46 days,19,0,0
47 days,0,0,0
48 days,0,0,0
49 days,0,0,0
50 days,0,1,1
51 days,0,1,1
