Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,2,0,0
8 days,1,0,0
9 days,1,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,0,0,0
15 days,0,0,0
16 days,0,0,2
17 days,0,0,3
18 days,0,0,3
19 days,1,0,1
20 days,1,0,0
21 days,1,0,2
22 days,0,0,1
23 days,1,0,1
24 days,1,0,0
25 days,1,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,0,0,0
32 days,0,0,0
33 days,0,0,0
34 days,0,0,0
35 days,0,0,0
36 days,0,0,0
37 days,0,0,1
38 days,1,0,1
39 days,2,0,1
40 days,3,0,0
41 days,4,0,0
42 days,9,0,0
43 days,14,0,0
44 days,16,0,0
45 days,11,0,0
46 days,13,0,0
47 days,15,0,0
48 days,30,0,0
49 days,35,0,0
50 days,32,0,0
51 days,24,0,0
52 days,21,0,0
53 days,81,0,0
54 days,80,0,0
55 days,80,0,0
56 days,20,0,0
57 days,17,0,0
58 days,18,0,1
