Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,0,0,0
5 days,0,0,0
6 days,0,0,0
7 days,0,0,0
8 days,1,0,0
9 days,1,0,0
10 days,2,0,0
11 days,1,0,0
12 days,1,0,0
13 days,1,0,0
14 days,1,0,0
15 days,2,0,0
16 days,1,0,0
17 days,1,0,0
18 days,1,0,2
19 days,1,0,2
20 days,1,0,2
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,2
29 days,0,0,2
30 days,0,0,2
31 days,0,0,0
32 days,0,0,1
33 days,0,0,1
34 days,0,0,1
35 days,0,0,0
36 days,0,0,0
37 days,0,0,0
38 days,0,0,0
39 days,0,0,0
40 days,0,0,0
41 days,0,0,0
42 days,0,0,0
43 days,1,0,0
44 days,5,0,0
45 days,5,0,0
46 days,4,0,0
47 days,3,0,0
48 days,3,0,0
49 days,5,0,0
50 days,5,0,0
51 days,6,0,0
52 days,5,0,0
53 days,4,0,0
54 days,6,0,0
55 days,8,0,0
56 days,8,0,0
57 days,6,0,0
58 days,9,0,0
59 days,11,0,0
60 days,13,0,0
61 days,9,0,0
62 days,10,0,1
63 days,10,0,1
64 days,11,0,1
65 days,12,0,2
66 days,13,0,12
67 days,13,0,12
68 days,10,0,13
69 days,10,0,7
70 days,8,0,9
71 days,7,0,9
72 days,3,0,5
73 days,3,0,3
74 days,3,0,11
75 days,3,0,12
76 days,3,0,11
77 days,3,0,7
78 days,2,0,6
79 days,2,0,5
80 days,3,0,1
81 days,3,0,8
82 days,2,0,9
83 days,1,0,10
84 days,1,0,10
85 days,0,0,10
86 days,0,0,8
87 days,0,0,5
88 days,0,0,5
89 days,0,0,6
90 days,0,0,2
91 days,1,0,1
92 days,1,0,0
93 days,1,0,0
94 days,0,0,0
95 days,0,0,0
96 days,0,0,0
97 days,0,0,0
98 days,0,0,0
99 days,0,0,0
100 days,0,0,0
101 days,0,0,0
102 days,0,0,4
103 days,0,0,4
104 days,6,0,5
105 days,6,0,3
106 days,6,0,3
107 days,0,0,3
108 days,0,0,3
109 days,0,0,4
110 days,0,0,4
