Dates,Infected,Dead,Recovered
0 days,4.0,0.0,0.0
1 days,3.0,0.0,0.0
2 days,9.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,3.0,0.0,0.0
5 days,7.0,0.0,0.0
6 days,4.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,4.0,0.0,0.0
10 days,3.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,1.0,0.0,0.0
13 days,2.0,0.0,0.0
14 days,3.0,0.0,0.0
15 days,3.0,0.0,17.0
16 days,1.0,0.0,0.0
17 days,4.0,0.0,0.0
18 days,7.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,25.0,1.0,0.0
22 days,7.0,0.0,0.0
23 days,7.0,0.0,1.0
24 days,11.0,0.0,0.0
25 days,7.0,0.0,0.0
26 days,3.0,0.0,0.0
27 days,15.0,0.0,0.0
28 days,27.0,0.0,0.0
29 days,33.0,0.0,3.0
30 days,23.0,0.0,0.0
31 days,20.0,0.0,3.0
32 days,17.0,0.0,0.0
33 days,7.0,0.0,18.0
34 days,2.0,0.0,2.0
35 days,0.0,0.0,0.0
36 days,4.0,1.0,1.0
37 days,1.0,0.0,12.0
38 days,3.0,0.0,1.0
39 days,2.0,0.0,0.0
40 days,11.0,0.0,4.0
41 days,7.0,0.0,1.0
42 days,3.0,0.0,0.0
43 days,13.0,0.0,6.0
44 days,6.0,0.0,0.0
45 days,6.0,0.0,2.0
46 days,10.0,0.0,0.0
47 days,0.0,0.0,0.0
48 days,6.0,0.0,0.0
49 days,1.0,0.0,0.0
50 days,4.0,0.0,0.0
51 days,2.0,0.0,0.0
52 days,0.0,0.0,0.0
53 days,0.0,0.0,0.0
54 days,1.0,0.0,0.0
55 days,1.0,0.0,0.0
56 days,0.0,0.0,5.0
57 days,9.0,0.0,0.0
58 days,0.0,0.0,0.0
59 days,0.0,0.0,1.0
60 days,9.0,0.0,25.0
61 days,9.0,0.0,25.0
62 days,3.0,0.0,47.0
63 days,1.0,0.0,2.0
64 days,0.0,0.0,52.0
65 days,0.0,0.0,0.0
66 days,0.0,0.0,35.0
67 days,0.0,0.0,38.0
68 days,0.0,0.0,7.0
69 days,0.0,0.0,2.0
