Dates,Infected,Dead,Recovered
1 days,0,0,0
2 days,0,0,0
3 days,1,0,0
4 days,2,0,0
5 days,2,0,0
6 days,1,0,0
7 days,2,0,0
8 days,2,0,0
9 days,3,0,0
10 days,1,0,0
11 days,3,0,0
12 days,2,0,0
13 days,5,0,0
14 days,2,0,0
15 days,3,0,0
16 days,1,0,0
17 days,1,0,0
18 days,1,0,0
19 days,1,0,0
20 days,0,0,0
21 days,0,0,0
22 days,0,0,0
23 days,0,0,0
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,1,0,1
28 days,1,0,1
29 days,1,0,1
30 days,0,0,1
31 days,0,0,1
32 days,0,0,1
33 days,0,0,2
34 days,0,0,2
35 days,0,0,2
36 days,0,0,1
37 days,0,0,2
38 days,0,0,2
39 days,0,0,4
40 days,0,0,2
41 days,0,0,2
42 days,0,0,0
43 days,0,0,0
44 days,0,0,1
45 days,0,0,1
46 days,0,0,1
47 days,0,0,2
48 days,0,0,2
49 days,0,0,2
50 days,0,0,0
51 days,0,0,0
52 days,0,0,0
