Dates,Infected,Dead,Recovered
0 days,4.0,0.0,0.0
1 days,2.0,0.0,0.0
2 days,3.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,23.0,0.0,0.0
5 days,2.0,0.0,0.0
6 days,9.0,0.0,0.0
7 days,5.0,0.0,0.0
8 days,4.0,0.0,0.0
9 days,7.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,10.0,0.0,0.0
12 days,9.0,0.0,0.0
13 days,30.0,1.0,2.0
14 days,39.0,0.0,1.0
15 days,78.0,0.0,13.0
16 days,56.0,0.0,4.0
17 days,18.0,0.0,1.0
18 days,41.0,1.0,3.0
19 days,37.0,1.0,2.0
20 days,55.0,0.0,1.0
21 days,29.0,2.0,2.0
22 days,67.0,0.0,7.0
23 days,53.0,1.0,6.0
24 days,78.0,0.0,4.0
25 days,35.0,0.0,5.0
26 days,30.0,1.0,3.0
27 days,54.0,1.0,6.0
28 days,31.0,2.0,4.0
29 days,53.0,0.0,17.0
30 days,86.0,0.0,18.0
31 days,140.0,2.0,39.0
32 days,141.0,2.0,65.0
33 days,63.0,2.0,37.0
34 days,107.0,1.0,37.0
35 days,144.0,0.0,70.0
36 days,69.0,0.0,30.0
37 days,61.0,0.0,23.0
38 days,176.0,2.0,47.0
39 days,143.0,0.0,42.0
40 days,140.0,0.0,26.0
41 days,154.0,1.0,45.0
42 days,193.0,5.0,44.0
43 days,119.0,0.0,42.0
44 days,116.0,0.0,36.0
45 days,118.0,0.0,38.0
46 days,192.0,0.0,54.0
47 days,111.0,0.0,45.0
48 days,264.0,0.0,47.0
49 days,195.0,0.0,56.0
50 days,260.0,0.0,63.0
51 days,63.0,2.0,99.0
52 days,129.0,2.0,89.0
53 days,156.0,0.0,106.0
54 days,217.0,1.0,129.0
55 days,156.0,0.0,110.0
56 days,256.0,1.0,113.0
57 days,141.0,0.0,145.0
58 days,115.0,0.0,165.0
59 days,117.0,1.0,133.0
60 days,72.0,0.0,149.0
61 days,138.0,0.0,185.0
