Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,2.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,8.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,1.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,4.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,12.0,0.0,0.0
14 days,3.0,0.0,0.0
15 days,7.0,0.0,0.0
16 days,9.0,0.0,8.0
17 days,1.0,0.0,0.0
18 days,9.0,0.0,1.0
19 days,31.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,45.0,0.0,16.0
22 days,0.0,0.0,0.0
23 days,15.0,1.0,11.0
24 days,37.0,1.0,0.0
25 days,27.0,0.0,0.0
26 days,84.0,0.0,5.0
27 days,65.0,0.0,12.0
28 days,72.0,0.0,18.0
29 days,156.0,0.0,2.0
30 days,141.0,0.0,3.0
31 days,0.0,0.0,0.0
32 days,114.0,0.0,26.0
33 days,0.0,0.0,0.0
34 days,99.0,0.0,10.0
35 days,29.0,0.0,71.0
36 days,12.0,0.0,69.0
37 days,13.0,0.0,78.0
38 days,9.0,0.0,43.0
39 days,15.0,0.0,38.0
40 days,12.0,0.0,66.0
41 days,37.0,0.0,21.0
42 days,5.0,0.0,101.0
43 days,12.0,0.0,43.0
44 days,8.0,0.0,30.0
45 days,15.0,0.0,14.0
46 days,0.0,0.0,0.0
47 days,4.0,0.0,27.0
48 days,4.0,0.0,32.0
49 days,4.0,1.0,10.0
50 days,9.0,0.0,44.0
51 days,2.0,0.0,25.0
52 days,54.0,0.0,10.0
53 days,21.0,0.0,13.0
54 days,17.0,0.0,25.0
55 days,29.0,0.0,14.0
56 days,12.0,0.0,14.0
