Dates,Infected,Dead,Recovered
0 days,3.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,3.0,0.0,0.0
3 days,8.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,2.0,0.0,0.0
6 days,26.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,14.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,26.0,0.0,0.0
12 days,10.0,0.0,3.0
13 days,13.0,0.0,0.0
14 days,4.0,0.0,0.0
15 days,5.0,0.0,2.0
16 days,14.0,1.0,1.0
17 days,14.0,0.0,3.0
18 days,3.0,0.0,0.0
19 days,69.0,3.0,24.0
20 days,12.0,0.0,0.0
21 days,42.0,0.0,0.0
22 days,10.0,0.0,2.0
23 days,18.0,1.0,0.0
24 days,41.0,0.0,9.0
25 days,38.0,0.0,10.0
26 days,42.0,0.0,13.0
27 days,11.0,0.0,4.0
28 days,19.0,0.0,7.0
29 days,17.0,0.0,13.0
30 days,23.0,0.0,23.0
31 days,17.0,0.0,16.0
32 days,48.0,0.0,3.0
33 days,14.0,2.0,68.0
34 days,22.0,0.0,15.0
35 days,22.0,0.0,38.0
36 days,19.0,1.0,48.0
37 days,34.0,0.0,43.0
38 days,0.0,0.0,0.0
39 days,17.0,0.0,25.0
40 days,13.0,0.0,25.0
41 days,13.0,0.0,21.0
42 days,21.0,0.0,21.0
43 days,17.0,0.0,25.0
44 days,10.0,0.0,42.0
45 days,13.0,0.0,23.0
46 days,26.0,2.0,37.0
47 days,35.0,0.0,11.0
48 days,13.0,1.0,25.0
49 days,28.0,1.0,14.0
50 days,24.0,0.0,23.0
51 days,11.0,0.0,13.0
52 days,25.0,0.0,8.0
53 days,71.0,0.0,17.0
54 days,14.0,0.0,13.0
55 days,21.0,0.0,21.0
56 days,7.0,0.0,17.0
