Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,2.0,0.0,0.0
7 days,2.0,0.0,0.0
8 days,7.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,5.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,2.0,0.0,0.0
13 days,1.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,4.0,1.0,8.0
17 days,2.0,1.0,0.0
18 days,11.0,1.0,4.0
19 days,11.0,1.0,0.0
20 days,6.0,0.0,0.0
21 days,6.0,0.0,0.0
22 days,14.0,3.0,0.0
23 days,13.0,2.0,12.0
24 days,3.0,2.0,0.0
25 days,49.0,4.0,0.0
26 days,62.0,2.0,0.0
27 days,29.0,0.0,0.0
28 days,34.0,2.0,0.0
29 days,38.0,2.0,5.0
30 days,65.0,4.0,0.0
31 days,42.0,1.0,0.0
32 days,45.0,3.0,2.0
33 days,57.0,2.0,0.0
34 days,73.0,4.0,6.0
35 days,132.0,9.0,9.0
36 days,131.0,14.0,15.0
37 days,139.0,28.0,0.0
38 days,185.0,19.0,1.0
39 days,80.0,25.0,28.0
40 days,69.0,22.0,0.0
41 days,103.0,21.0,0.0
42 days,45.0,20.0,23.0
43 days,104.0,12.0,124.0
44 days,94.0,30.0,110.0
45 days,95.0,21.0,58.0
46 days,64.0,19.0,55.0
47 days,89.0,18.0,131.0
48 days,69.0,20.0,10.0
49 days,87.0,13.0,90.0
50 days,90.0,10.0,17.0
51 days,108.0,12.0,75.0
52 days,150.0,16.0,63.0
53 days,116.0,3.0,48.0
54 days,95.0,8.0,153.0
55 days,89.0,9.0,52.0
56 days,93.0,8.0,53.0
57 days,99.0,10.0,52.0
