Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,5.0,0.0,0.0
3 days,4.0,0.0,0.0
4 days,8.0,0.0,0.0
5 days,6.0,0.0,0.0
6 days,14.0,0.0,0.0
7 days,44.0,0.0,0.0
8 days,46.0,1.0,0.0
9 days,60.0,0.0,0.0
10 days,77.0,2.0,0.0
11 days,56.0,0.0,0.0
12 days,61.0,1.0,0.0
13 days,121.0,1.0,0.0
14 days,0.0,0.0,0.0
15 days,303.0,5.0,0.0
16 days,156.0,2.0,2.0
17 days,176.0,8.0,0.0
18 days,278.0,4.0,0.0
19 days,295.0,19.0,0.0
20 days,347.0,15.0,0.0
21 days,409.0,19.0,0.0
22 days,536.0,30.0,0.0
23 days,637.0,30.0,0.0
24 days,577.0,43.0,0.0
25 days,547.0,34.0,0.0
26 days,816.0,63.0,1.0
27 days,858.0,80.0,1.0
28 days,1030.0,78.0,2.0
29 days,1179.0,112.0,0.0
30 days,1172.0,93.0,0.0
31 days,1111.0,132.0,68.0
32 days,887.0,93.0,0.0
33 days,850.0,175.0,0.0
34 days,1029.0,135.0,0.0
35 days,1092.0,166.0,0.0
36 days,1033.0,149.0,0.0
37 days,906.0,166.0,0.0
38 days,1226.0,115.0,0.0
39 days,973.0,103.0,0.0
40 days,783.0,234.0,0.0
41 days,973.0,147.0,0.0
42 days,1221.0,148.0,0.0
43 days,1346.0,117.0,0.0
44 days,1322.0,133.0,0.0
45 days,1175.0,94.0,0.0
46 days,964.0,86.0,0.0
47 days,870.0,122.0,0.0
48 days,736.0,190.0,0.0
49 days,1067.0,182.0,0.0
50 days,1236.0,144.0,0.0
51 days,1147.0,142.0,0.0
52 days,1072.0,84.0,0.0
53 days,750.0,67.0,0.0
54 days,729.0,165.0,0.0
55 days,715.0,139.0,27.0
