Dates,Infected,Dead,Recovered
2 days,2,0,0
3 days,1,0,0
4 days,2,0,0
5 days,2,0,0
6 days,1,0,0
7 days,0,0,0
8 days,1,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,4,1,0
14 days,4,1,0
15 days,7,1,0
16 days,10,0,0
17 days,28,0,0
18 days,54,0,0
19 days,103,1,0
20 days,132,2,1
21 days,197,4,1
22 days,205,4,1
23 days,192,7,0
24 days,128,5,0
25 days,141,5,0
26 days,171,3,0
27 days,217,7,0
28 days,174,8,0
29 days,122,8,0
30 days,139,9,17
31 days,275,12,18
32 days,400,20,21
33 days,376,23,4
34 days,239,26,14
35 days,161,20,12
36 days,126,15,12
37 days,94,6,0
38 days,268,21,13
39 days,406,27,80
40 days,1138,35,89
41 days,936,24,90
42 days,834,20,54
43 days,123,19,76
44 days,115,18,95
45 days,131,18,93
46 days,232,16,80
47 days,282,17,47
48 days,388,23,76
49 days,414,24,74
50 days,559,29,104
51 days,459,21,66
52 days,461,21,67
