Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,2.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,1.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,1.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,1.0
12 days,0.0,0.0,0.0
13 days,10.0,0.0,0.0
14 days,3.0,0.0,1.0
15 days,1.0,0.0,0.0
16 days,8.0,0.0,0.0
17 days,3.0,0.0,0.0
18 days,22.0,0.0,0.0
19 days,83.0,0.0,0.0
20 days,100.0,0.0,0.0
21 days,63.0,0.0,0.0
22 days,155.0,2.0,3.0
23 days,47.0,1.0,0.0
24 days,229.0,0.0,0.0
25 days,46.0,2.0,0.0
26 days,99.0,1.0,0.0
27 days,97.0,1.0,13.0
28 days,91.0,1.0,3.0
29 days,138.0,1.0,0.0
30 days,172.0,2.0,2.0
31 days,122.0,1.0,6.0
32 days,102.0,2.0,0.0
33 days,120.0,7.0,47.0
34 days,221.0,5.0,0.0
35 days,180.0,1.0,18.0
36 days,303.0,7.0,31.0
37 days,265.0,6.0,1.0
38 days,132.0,1.0,5.0
39 days,339.0,6.0,80.0
40 days,609.0,6.0,48.0
41 days,269.0,4.0,170.0
42 days,228.0,4.0,38.0
43 days,226.0,4.0,105.0
44 days,206.0,1.0,155.0
45 days,316.0,20.0,35.0
46 days,219.0,5.0,266.0
47 days,266.0,2.0,67.0
48 days,341.0,3.0,283.0
49 days,546.0,15.0,68.0
50 days,536.0,17.0,199.0
51 days,106.0,7.0,120.0
52 days,613.0,8.0,67.0
53 days,710.0,25.0,36.0
54 days,70.0,8.0,102.0
55 days,1147.0,25.0,103.0
56 days,511.0,11.0,83.0
