Dates,Infected,Dead,Recovered
1 days,1,0,0
2 days,0,0,0
3 days,0,0,0
4 days,1,0,0
5 days,1,0,0
6 days,0,0,0
7 days,0,0,0
8 days,0,0,0
9 days,0,0,0
10 days,0,0,0
11 days,0,0,0
12 days,0,0,0
13 days,0,0,0
14 days,2,0,0
15 days,2,0,0
16 days,2,0,0
17 days,0,0,0
18 days,0,0,1
19 days,0,0,1
20 days,0,0,1
21 days,0,0,1
22 days,0,0,1
23 days,0,0,1
24 days,0,0,0
25 days,0,0,0
26 days,0,0,0
27 days,0,0,0
28 days,0,0,0
29 days,0,0,0
30 days,0,0,0
31 days,1,0,2
32 days,2,0,2
33 days,9,0,2
34 days,14,0,0
35 days,27,0,0
36 days,31,0,0
37 days,45,0,0
38 days,35,1,0
39 days,53,1,0
40 days,63,1,0
41 days,151,2,0
42 days,224,2,0
43 days,252,4,0
44 days,188,3,0
45 days,278,7,0
46 days,386,10,0
47 days,358,10,0
48 days,629,15,0
49 days,734,14,0
50 days,746,14,0
51 days,1001,23,0
52 days,1073,19,0
53 days,1531,19,0
54 days,1429,32,0
55 days,1681,101,0
56 days,1780,138,0
57 days,1758,144,731
58 days,2455,137,731
59 days,2720,180,1079
60 days,3119,219,567
61 days,3143,279,916
62 days,3593,298,819
63 days,4168,328,606
64 days,3719,304,757
65 days,3923,344,752
66 days,4907,405,1263
67 days,5680,601,1276
68 days,4920,789,1528
69 days,4125,996,1541
70 days,3917,1053,1506
71 days,3828,898,1267
72 days,3380,802,1098
73 days,3221,923,1317
74 days,3882,931,1701
75 days,4008,1101,1995
76 days,4192,957,1891
77 days,3935,988,1737
78 days,11449,728,1352
79 days,11219,590,935
80 days,11834,627,714
81 days,3958,919,1162
82 days,6894,979,1604
83 days,5906,984,1872
84 days,4834,719,1676
85 days,2312,599,1255
86 days,2436,528,996
87 days,2631,491,1066
88 days,990,541,1360
89 days,970,530,1560
90 days,1324,483,1437
91 days,1888,425,1312
92 days,1306,334,938
93 days,2004,349,673
94 days,1633,349,764
95 days,1441,410,1108
96 days,445,361,1321
97 days,254,311,1109
98 days,658,224,812
99 days,542,174,470
100 days,759,202,421
101 days,723,258,726
102 days,1766,304,1065
103 days,1778,262,1238
104 days,1838,232,1017
105 days,853,167,690
106 days,725,131,379
107 days,448,138,314
108 days,467,227,583
109 days,363,231,820
