Dates,Infected,Dead,Recovered
0 days,71.0,1.0,0.0
1 days,15.0,0.0,1.0
2 days,5.0,0.0,0.0
3 days,3.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,18.0,0.0,5.0
6 days,13.0,0.0,4.0
7 days,0.0,0.0,0.0
8 days,1.0,0.0,0.0
9 days,9.0,0.0,6.0
10 days,10.0,0.0,7.0
11 days,0.0,0.0,0.0
12 days,25.0,3.0,1.0
13 days,14.0,1.0,6.0
14 days,0.0,0.0,0.0
15 days,66.0,2.0,22.0
16 days,33.0,0.0,6.0
17 days,0.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,104.0,1.0,8.0
20 days,0.0,0.0,0.0
21 days,62.0,3.0,13.0
22 days,31.0,1.0,5.0
23 days,30.0,0.0,9.0
24 days,51.0,0.0,9.0
25 days,37.0,3.0,21.0
26 days,6.0,3.0,5.0
27 days,26.0,0.0,10.0
28 days,39.0,1.0,21.0
29 days,34.0,0.0,3.0
30 days,28.0,1.0,3.0
31 days,32.0,1.0,1.0
32 days,17.0,1.0,35.0
33 days,10.0,0.0,31.0
34 days,9.0,0.0,17.0
35 days,7.0,0.0,22.0
36 days,0.0,0.0,0.0
37 days,17.0,0.0,65.0
38 days,28.0,0.0,45.0
39 days,4.0,4.0,22.0
40 days,1.0,0.0,87.0
41 days,0.0,0.0,0.0
42 days,5.0,1.0,72.0
43 days,0.0,0.0,0.0
44 days,1.0,1.0,60.0
45 days,8.0,0.0,31.0
46 days,14.0,0.0,2.0
47 days,35.0,1.0,16.0
48 days,0.0,0.0,0.0
