Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,2.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,3.0,0.0,0.0
6 days,6.0,0.0,0.0
7 days,11.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,7.0,0.0,1.0
10 days,0.0,1.0,0.0
11 days,19.0,0.0,0.0
12 days,17.0,0.0,0.0
13 days,14.0,0.0,0.0
14 days,14.0,0.0,0.0
15 days,15.0,0.0,0.0
16 days,16.0,0.0,1.0
17 days,24.0,0.0,0.0
18 days,28.0,0.0,0.0
19 days,22.0,1.0,0.0
20 days,32.0,0.0,0.0
21 days,32.0,0.0,0.0
22 days,35.0,0.0,13.0
23 days,55.0,2.0,3.0
24 days,70.0,1.0,5.0
25 days,82.0,1.0,0.0
26 days,86.0,2.0,3.0
27 days,161.0,4.0,3.0
28 days,112.0,3.0,1.0
29 days,101.0,4.0,7.0
30 days,91.0,3.0,3.0
31 days,118.0,5.0,0.0
32 days,115.0,2.0,10.0
33 days,149.0,0.0,6.0
34 days,122.0,1.0,19.0
35 days,102.0,1.0,19.0
36 days,50.0,4.0,13.0
37 days,222.0,5.0,27.0
38 days,115.0,6.0,37.0
39 days,105.0,8.0,64.0
40 days,110.0,2.0,41.0
41 days,114.0,1.0,115.0
42 days,94.0,10.0,66.0
43 days,76.0,3.0,0.0
44 days,66.0,2.0,48.0
45 days,164.0,3.0,55.0
46 days,148.0,5.0,101.0
47 days,184.0,4.0,94.0
48 days,194.0,10.0,70.0
49 days,104.0,2.0,70.0
50 days,73.0,6.0,30.0
51 days,157.0,1.0,50.0
52 days,133.0,8.0,139.0
53 days,126.0,5.0,68.0
54 days,83.0,6.0,90.0
55 days,72.0,2.0,62.0
56 days,69.0,1.0,48.0
57 days,127.0,7.0,41.0
58 days,115.0,4.0,121.0
59 days,113.0,7.0,114.0
60 days,129.0,2.0,89.0
61 days,123.0,5.0,79.0
62 days,139.0,11.0,99.0
63 days,60.0,8.0,33.0
64 days,68.0,6.0,22.0
65 days,159.0,7.0,89.0
66 days,252.0,3.0,107.0
