Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,1.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,0.0,0.0,0.0
14 days,0.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,0.0,0.0,3.0
18 days,0.0,0.0,0.0
19 days,0.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,0.0,0.0,0.0
22 days,0.0,0.0,0.0
23 days,0.0,0.0,0.0
24 days,0.0,0.0,0.0
25 days,0.0,0.0,0.0
26 days,0.0,0.0,0.0
27 days,0.0,0.0,0.0
28 days,0.0,0.0,0.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,0.0,0.0,0.0
32 days,2.0,0.0,0.0
33 days,0.0,0.0,0.0
34 days,23.0,0.0,0.0
35 days,2.0,0.0,0.0
36 days,1.0,0.0,0.0
37 days,3.0,0.0,0.0
38 days,5.0,0.0,0.0
39 days,4.0,0.0,0.0
40 days,13.0,0.0,1.0
41 days,6.0,1.0,0.0
42 days,11.0,0.0,0.0
43 days,9.0,1.0,0.0
44 days,20.0,0.0,0.0
45 days,11.0,0.0,9.0
46 days,6.0,0.0,0.0
47 days,23.0,1.0,1.0
48 days,14.0,0.0,0.0
49 days,38.0,1.0,1.0
50 days,50.0,0.0,5.0
51 days,86.0,0.0,3.0
52 days,66.0,3.0,4.0
53 days,103.0,3.0,0.0
54 days,37.0,0.0,13.0
55 days,121.0,2.0,3.0
56 days,70.0,8.0,2.0
57 days,160.0,0.0,28.0
58 days,100.0,4.0,11.0
59 days,37.0,3.0,11.0
60 days,227.0,5.0,7.0
61 days,146.0,3.0,21.0
62 days,601.0,23.0,25.0
63 days,545.0,14.0,43.0
64 days,24.0,0.0,1.0
65 days,515.0,14.0,37.0
66 days,506.0,13.0,0.0
67 days,1190.0,37.0,146.0
68 days,533.0,14.0,46.0
69 days,605.0,28.0,85.0
70 days,809.0,48.0,114.0
71 days,873.0,20.0,154.0
72 days,848.0,42.0,195.0
73 days,759.0,43.0,111.0
74 days,1248.0,27.0,101.0
75 days,1034.0,35.0,178.0
76 days,835.0,12.0,73.0
77 days,1108.0,43.0,336.0
78 days,922.0,38.0,273.0
79 days,1370.0,35.0,422.0
80 days,1893.0,38.0,391.0
81 days,924.0,33.0,419.0
82 days,1541.0,53.0,702.0
83 days,1290.0,36.0,395.0
84 days,1707.0,40.0,642.0
85 days,1453.0,59.0,486.0
86 days,1753.0,45.0,441.0
87 days,1607.0,56.0,584.0
88 days,1561.0,58.0,614.0
89 days,1873.0,69.0,610.0
90 days,1738.0,71.0,690.0
91 days,1801.0,75.0,631.0
92 days,2394.0,69.0,939.0
93 days,2442.0,100.0,812.0
94 days,2806.0,68.0,956.0
95 days,3932.0,175.0,1072.0
96 days,2963.0,127.0,1295.0
97 days,3587.0,92.0,1189.0
98 days,3364.0,104.0,1445.0
99 days,3344.0,96.0,1111.0
100 days,3113.0,116.0,1414.0
101 days,4353.0,111.0,1668.0
102 days,3607.0,82.0,1580.0
103 days,3524.0,121.0,1871.0
104 days,3763.0,136.0,1980.0
