Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,4.0,0.0,0.0
5 days,7.0,0.0,0.0
6 days,7.0,0.0,0.0
7 days,16.0,0.0,0.0
8 days,11.0,0.0,0.0
9 days,2.0,0.0,0.0
10 days,7.0,0.0,0.0
11 days,10.0,0.0,0.0
12 days,18.0,0.0,0.0
13 days,20.0,0.0,0.0
14 days,32.0,1.0,0.0
15 days,36.0,0.0,0.0
16 days,51.0,0.0,0.0
17 days,27.0,0.0,0.0
18 days,54.0,0.0,0.0
19 days,81.0,0.0,0.0
20 days,0.0,0.0,0.0
21 days,73.0,0.0,0.0
22 days,202.0,9.0,0.0
23 days,82.0,3.0,0.0
24 days,44.0,3.0,0.0
25 days,115.0,0.0,0.0
26 days,160.0,12.0,0.0
27 days,111.0,3.0,0.0
28 days,305.0,8.0,0.0
29 days,148.0,5.0,0.0
30 days,284.0,7.0,0.0
31 days,292.0,7.0,0.0
32 days,247.0,3.0,0.0
33 days,219.0,4.0,0.0
34 days,201.0,1.0,0.0
35 days,238.0,5.0,0.0
36 days,275.0,3.0,0.0
37 days,250.0,6.0,0.0
38 days,424.0,5.0,0.0
39 days,411.0,9.0,0.0
40 days,408.0,5.0,0.0
41 days,445.0,4.0,0.0
42 days,372.0,7.0,534.0
43 days,304.0,7.0,103.0
44 days,324.0,5.0,116.0
45 days,312.0,3.0,117.0
46 days,260.0,5.0,107.0
47 days,254.0,4.0,48.0
48 days,132.0,5.0,42.0
49 days,207.0,5.0,27.0
50 days,296.0,7.0,58.0
51 days,263.0,5.0,30.0
52 days,233.0,6.0,27.0
53 days,222.0,6.0,51.0
54 days,227.0,5.0,32.0
55 days,285.0,6.0,51.0
56 days,0.0,0.0,0.0
57 days,353.0,10.0,83.0
58 days,102.0,4.0,125.0
59 days,93.0,4.0,23.0
60 days,120.0,3.0,149.0
61 days,114.0,3.0,248.0
62 days,57.0,3.0,189.0
63 days,95.0,3.0,293.0
64 days,89.0,6.0,279.0
65 days,0.0,0.0,0.0
66 days,144.0,3.0,558.0
67 days,67.0,2.0,310.0
68 days,52.0,2.0,224.0
