Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,5.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,0.0,0.0,1.0
11 days,3.0,0.0,2.0
12 days,0.0,0.0,0.0
13 days,3.0,0.0,0.0
14 days,15.0,0.0,0.0
15 days,0.0,0.0,0.0
16 days,0.0,0.0,0.0
17 days,9.0,0.0,0.0
18 days,0.0,0.0,0.0
19 days,15.0,0.0,2.0
20 days,0.0,0.0,0.0
21 days,18.0,0.0,0.0
22 days,7.0,0.0,10.0
23 days,0.0,0.0,0.0
24 days,5.0,0.0,0.0
25 days,0.0,0.0,7.0
26 days,5.0,0.0,7.0
27 days,0.0,0.0,0.0
28 days,8.0,0.0,3.0
29 days,0.0,0.0,0.0
30 days,0.0,0.0,0.0
31 days,58.0,0.0,0.0
32 days,0.0,1.0,15.0
33 days,11.0,1.0,5.0
34 days,141.0,2.0,0.0
35 days,47.0,0.0,0.0
36 days,89.0,1.0,0.0
37 days,122.0,3.0,0.0
38 days,138.0,5.0,1.0
39 days,161.0,0.0,1.0
40 days,205.0,0.0,23.0
41 days,420.0,3.0,62.0
42 days,495.0,3.0,30.0
43 days,245.0,4.0,3.0
44 days,352.0,3.0,31.0
45 days,341.0,3.0,0.0
46 days,362.0,4.0,0.0
47 days,447.0,3.0,0.0
48 days,476.0,4.0,0.0
49 days,575.0,2.0,139.0
50 days,0.0,3.0,0.0
51 days,0.0,2.0,152.0
52 days,1485.0,4.0,20.0
53 days,459.0,4.0,63.0
54 days,558.0,3.0,192.0
